Title,Category 1,Category 2,Category 3,Description
"FutureBiotics, Certified Organic Iron + C, 90 Organic Vegetarian Tablets",FutureBiotics,Iron,Vitamin C,"Health. Nature. Life.Iron 27 mgFrom Curry Leaves and Amla FruitDietary Supplement30 Day SupplyUSDA OrganicCertified Organic by: NOFA-NY Certified Organic, LLCDaily Bioactive Guarantee:Supports Red Blood Cell Production and Helps Combat Iron DeficiencyIron + C - The ""Whole"" Story - Active Iron + C from Whole FoodWhy Organic?Organic products are good for you and good for the environment. Certified organic whole foods, are responsibly harvested and provide more of the healthy benefits that nature intended!Daily Bioactive GuaranteeNatural iron (27 mg per daily serving) from certified organic curry leaves extract.Natural vitamin C (120 mg per daily serving) from certified organic amla fruit extract.All of the other supportive, naturally-occurring plants co-nutrients.Did you know?Taking iron with vitamin C enables the body to better absorb the iron.Certified Organic - Futurebiotics Iron + C is certified organic. In fact, every single ingredient in this product without exception, is certified organic.Iron + CIron - Supports Red Blood Cell Production and Helps Combat Iron DeficiencyWith whole-food Vitamin C for improved iron absorption100% natural source - Free of pesticides, fertilizer and preservatives.Iron + C is formulated to support the production of red blood cells and help reduce iron deficiency in the body.Plant-based iron is friendlier to the digestive system than other forms of iron. Often times iron can cause stomach upset or other unpleasant side effects. Futurebiotics utilizes natural iron extracted from curry leaves to provide effective, yet gentler iron supplementation. Furthermore, our organic curry leaves extract also provides naturally-occurring plant constituents to support the natural iron activity.Taking vitamin C and iron together helps the body to better absorb the iron. Futurebiotics includes natural vitamin C extracted from organic amla fruit. Our organic amla extract also provides other naturally-occurring co-nutrients from the fruit that help protect the stability and activity of the vitamin C.Our curry leaves and amla fruit are grown in carefully balanced soil on privately-owned organic farms without chemical pesticides or fertilizers.Iron + C from Curry Leaves and Amla Fruit - pure, fresh, and bioactive just like Nature intended. 100% Vegetarian. Glass packaging extends natural freshness and helps maintain potency."
"Nature's Way, Calcium Mag & D Complex, 250 Capsules",Nature's Way,Calcium & Magnesium,,"Since 1969Bone and Muscle Function3-Part BlendDietary SupplementGluten FreeBone And Muscle HealthCalcium & magnesium are essential for healthy bones, teeth and muscle function. Vitamin D assists in the proper transport and retention of calcium. This formula is tested and produced to superior quality standards."
"Elizavecca, CER-100, Collagen Coating Protein Ion Injection, 1.69 fl oz (50 ml)",Elizavecca,Hair & Scalp Care,K-Beauty Hair Care,"This pig collagen treatment helps prevent damage of hair while supplying nutrients. Herbal extracts stimulate scalp to regain resilience as well as making hair softer, smoother, shinier and bouncier."
"Nature's Life, L-Lysine Powder, Unflavored, 200 g",Nature's Life,L-Lysine,Common Cold & Flu,"Sun Food Energy100% L-Lysine HCL Dietary Supplement1/4 Tsp. DailyQuality You Can Trust™ Vegetarian ProductDiscussion: The essential amino acid lysine has many functions including supporting efficient utilization of low-lysine protein foods. Additionally, Lysine is intended to provide nutritive support for healthy immune system function."
"California Gold Nutrition, CollagenUP, Hydrolyzed Marine Collagen Peptides with Hyaluronic Acid and Vitamin C, Unflavored, 16.37 oz (464 g)",California Gold Nutrition,Collagen Supplements,,"California Gold Nutrition CollagenUP, 16.37 oz (464 g)Marine Sourced Collagen Peptides + Hyaluronic Acid + Vitamin CFeaturing Unflavored, Non-Bovine, Hydrolyzed Fish Collagen With Non-Animal Source Hyaluronic Acid and Vitamin CSupport for Healthy Hair, Skin, Nails, Joints and Bones*Enzymatically Hydrolyzed Collagen Broken Down into Bioavailable Peptides Formulated without Gluten, GMOs, or Soy Produced in a 3rd Party Audited cGMP Registered (Certified) Facility100% Gold GuaranteeCollagen, hyaluronic acid, and vitamin C all contribute to the health and wellbeing of the musculoskeletal system. California Gold Nutrition CollagenUP contains all three of these ingredients to help support healthy hair, skin, nails, joints, and bones.* The unflavored powder can be quickly added to your favorite drink, providing a convenient way to add collagen to your diet.Vitamin C, Hyaluronic Acid, and Collagen BenefitsCollagen is the primary structural protein found throughout the body and provides crucial infrastructure, both inside and out. Hyaluronic acid is a component of connective tissue and can provide the fluid matrix for joint lubrication, skin hydration and repair.* Vitamin C plays a role in the production of collagen and assisting in antioxidant protection.* Research suggests that regular consumption of these nutrients can provide the body with the fundamental building blocks that can help to support the health of joints, bones, skin, hair, and nails.*California Gold Nutrition CollagenUP features non-bovine, marine sourced collagen peptides with hyaluronic acid and vitamin C. The specially processed fish collagen is enzymatically hydrolyzed (broken down) into low molecular weight component amino acids peptides in order to help ensure optimal absorption and bioavailability. Typical Amino Acids Profile (mg) Per Serving^Alanine457Hydroxylysine57Phenylalanine*102Arginine475Hydroxyproline447Proline531Aspartic Acid277Isoleucine*57Serine225Glutamic Acid543Leucine*126Threonine*159Glycine1,071Lysine*189Tyrosine19Histidine*76Methionine*75Valine*101^May vary slightly from batch to batch*Essential Amino AcidsiHerb Blog:The Collagen ConnectionBenefits of Collagen SupplementsCollagen and Fruit SmoothieGlowing Skin Smoothie BowliTested Verified "
"Citracal, Calcium Supplement + D3, Petites, 100 Coated Caplets",Citracal,Calcium Plus Vitamin D,,"Easier to Swallow†Calcium CitrateDefy bone aging with Citracal calcium and a high level of vitamin D3. Adequate calcium and vitamin D throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis. Citracal petites comes in smaller,† easier to swallow caplets made with calcium citrate, a different kind of calcium:Highly soluble, easily absorbedCan be taken with or without food†Compared to Citracal Maximum Plus"
"NOW Foods, Milk Thistle Extract , 150 mg, 120 Veg Capsules",NOW Foods,Milk Thistle (Silymarin),Liver Formulas,Silymarin (120 mg)Supports Liver FunctionA Dietary SupplementNon-GMOVegetarian / VeganKosherBotanicals / HerbsFamily Owned Since 1968GMP Quality AssuredHalalMilk thistle has been used by traditional herbalists for centuries. Scientific studies have indicated that constituents in milk thistle may help to support healthy liver function. This vegetarian formula also includes turmeric for additional support.
"Tony Moly, Moisture Boost, Cooling Marine Concentrate Serum, 2.70 fl oz (80 ml)",Tony Moly,Hydrating,K-Beauty Treatments & Serums,"This multi-functional serum will cool, plump and hydrate dry, tired skin with key ingredients such as Chlorella, Seaweed and Ice Plant extract as well as 3-weights of Hyaluronic Acid. This cooling, quick absorbing serum will pull moisture deep into the skin, leaving you feeling hydrated and refreshed!Super Aqua - Lightweight yet Intense HydrationSuper Mineral - Potent 4X Marine Blue ComplexSuper Cooling - Quick Absorption with Cooling Properties*Descriptions above are limited to raw materials properties"
"Simply Organic, Single Origin, Guatemalan Turmeric, 2.05 oz (58 g)",Simply Organic,Turmeric Spices,,USDA OrganicKosherCertified Organic by QAIOrganic means:No Toxic PesticidesNo Ethylene OxideNo IrradiationNo Genetically Engineered ProductsNotes: Curcumin creates brilliant gold color in this earthy spice with an enticing floral-bitter flavor.
"Zint, Pure Grass-Fed Collagen Peptides, Unflavored, 32 oz (907 g)",ZINT,Collagen Supplements,,"Beauty ElementsSkin - Hair - NailsGlowy Skin, Healthy Hair. It All Begins HereHydrolyzed Collagen Types I & IIIUnflavored for Any BeverageGranulated for BioavailabilityEssential Amino AcidsKeto CertifiedPaleo FriendlyGrass FedNon GMOGluten FreeDietary SupplementPure Collagen: Start Here.This is square one for beauty. Before the makeup. Before even the cleansers and creams. Collagen is your body's most basic protein building block for skin, hair, nails, and joints. Our pure, unflavored collagen peptides replenishes your body's declining collagen supply to counter the effects of age. Restore your skin's natural moisture, elasticity, and smoothness for a glow that radiates from within. Feel the difference in healthier hair, stronger nails, and renewed growth. It all starts here."
"Citracal, Calcium Supplement, Slow Release 1200 + D3, 80 Coated Tablets",Citracal,Calcium Plus Vitamin D,,"Slo-Cal® TechnologySlowly and Continuously Releases Calcium for Efficient AbsorptionTake Once Daily1200 mg of Calcium1000 IU of Vitamin D3#1 Doctor & Pharmacist§ Recommended Calcium BrandDefy Bone aging with Citracal calcium and a high level of Vitamin D3.Adequate calcium and Vitamin D throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis.Slo-Cal® Technology helps you address your daily calcium needs with a single serving of Citracal.What is Citracal slow release 1200?Slo-Cal® Technology is a patent-pending technology that has been specifically developed to provide efficient calcium absorption in one daily dose.Citracal Slow Release 1200 contains 1200 mg of calcium plus 1000 IU of vitamin D3 in one daily dose.§ Pharmacy Times Survey 2015"
"NOW Foods, C-1000 Zinc Immune , 180 Veg Capsules",NOW Foods,Ascorbic Acid,Zinc,"Vitamin C, 1,000 mg  & Zinc, 15 mgSeasonal Support FormulaAntioxidant ProtectionNon-GMOA Dietary SupplementVegetarian/VeganVitaminsFamily Owned Since 1968GMP Quality AssuredC-1000 Zinc Immune combines vitamin C with zinc for powerful immune system support. This product utilizes TRAACS™ Zinc Bisglycinate, a form of zinc that has been shown in clinical studies to have superior bioavailability compared to other forms of supplemental zinc."
"Cosrx, Lip Plump, AHA BHA Vitamin C Lip Plumper, 0.7 oz (20 g)",CosRx,Lips,K-Beauty Lip Care,RefreshPerfect your pout with this lip plumper containing AHA and BHA to make your lips feel smooth and Vitamin C to deliver nutrition.Key IngredientsAHA (Citric Acid)BHA (Betaine Salicylate)Vitamin C (Magnesium Ascorbyl Phosphate)
"Organika, Effervness, Marine Collagen + Vitamin C, Kiwi, 14 Effervescent Tablets",Organika,Collagen Supplements,,"Dietary Supplement 3 g Collagen On-The-Go Support For Hair, Skin & Nails Igen-Non-GMO Tested Keto Friendly Gluten Free Sugar 0 g25 Calories 7 Day Supply"
"Cosrx, AC Collection, Acne Patch, 26 Patches",CosRx,Acne & Blemish Masks,K-Beauty Treatments & Serums,Perfect Size for Intensive CareThe Largest Oval Shape Patch & Tapered EdgeSmall  9 x 13 mm [9 Ea]Medium 11 x 16 mm [9 Ea]Large 15 x 23 mm [ 8 Ea]Skin BenefitActs as a protective coverAbsorbs impurities and oilFormulated with Centella Asiatica Extract
"Frontier Co-Op, Slippery Elm Inner Bark, 16 oz (453 g)",Frontier Co-Op,Herbal Tea,Slippery Elm,"Member Owned Since 1976Ulmus RubraHerbal SupplementNon-IrradiatedKosherThis product is the powdered inner bark of the slippery elm tree. The quality of true slippery elm bark powder can be determined fairly easily by dissolving a sample in boiling water. The sample should produce a light brown to pinkish brown tea with a slippery feel between the fingers. Upon cooling the mixture coagulates slightly.Slippery Elm is a small tree native to North America. The bark is harvested from the tree in the early spring and the outer bark is scraped off, leaving the mucilage-rich inner bark.Nature's gentle demulcent."
"Celestial Seasonings, Sleepytime Green Tea Lemon Jasmine, Decaf, 20 Tea Bags, 1.1 oz (31 g)",Celestial Seasonings,Green Tea,Herbal Tea,"Excellent Antioxidant Source (20% DV Vitamin C per Serving)Certified Gluten FreeHain CelestialKosherHere's a taste that's excitingly different, yet comfortingly familiar. Smooth decaf green tea, lively lemon and fragrant jasmine meet our time-honored Sleepytime® blend of chamomile, spearmint and lemongrass. We've also added antioxidant Vitamin C to support your everyday wellness."
"Natural Vitality, CALM, The Anti-Stress Drink Mix,  Sweet Lemon, 16 oz (453 g)",Natural Vitality,Magnesium,,"A Magnesium SupplementNon GMO Project VerifiedVeganGluten-FreeExperience CALM: Your may notice muscles relaxing and an overarching sense of calmfulness.Multi-award-winning Natural Vitality CALM™, developed by Peter Gillham, is the best-selling magnesium supplement in the natural products market. (April 2019 Volume sales data for Natural Products markets as defined by SPINS).Why magnesium?We all encounter stress daily whether we realize it or not, and our bodies can respond by depleting our magnesium levels.We invite you to help replenish your body's magnesium levels and enjoy the wave of calmfulness."
"MediNatura, WellMind Calming Day/Night, 100 Tablets",MediNatura,Homeopathy Formulas,Cognitive & Memory Formulas,From the Makers of T-Relief™Day - Natural Calming & Emotional BalanceNight - Calmer Minds Sleep DeeperMediNaturaHomeopathicDay - Strengthen your emotional balance with WellMind Calming's all-natural tension relievers.​Night - A calmer mind all day means deeper sleep at night. Stop zonking your brain with sleep drugs! A regimen of WellMind Calming soothes sleep-robbing anxieties. Uses: For the temporary relief of simple nervous tension and anxiousness to promote better natural sleep.Our FDA-inspected facility strictly follows the FDA's pharmaceutical quality standards.
"Bluebonnet Nutrition, Calcium Citrate Magnesium Vitamin D3, 180 Caplets",Bluebonnet Nutrition,Calcium Citrate,,"Made with Non GMO IngredientsMay Support Bone HealthDietary SupplementGluten FreeKosher ParveBluebonnet's Calcium Citrate Magnesium Vitamin D3 Caplets are formulated with calcium in a chelate of calcium citrate and magnesium in a chelate of magnesium aspartate along with vitamin D3 (cholecalciferol) from lanolin for strong, healthy bones."
"Uncle Lee's Tea, Body Slim Dieter Tea, Lemon, Caffeine Free, 30 Tea Bags, 2.12 oz (60 g)",Uncle Lee's Tea,Medicinal Teas,Herbal Tea,"All Natural BeverageNo AdditivesUncle Lee's Body Slim Dieter Tea is blended with the premium natural herb and spices. The formula and preparation are based on an old Chinese book of medicine, ""Detailed Outlines on Chinese Herbs"", by Lee Se-Zhen, 1518-1593. After centuries of use, it has proven to be one of the best healthy beverages for dieters.Health Tips For Staying in ShapeEat more fresh vegetables, whole grains and fresh fruits. Reduce or eliminate excessive fat from your diet as much as possible.Eliminate high calorie foods, and foods loaded with sugar and salt.As nutritional insurance, take vitamin and mineral supplements everyday.Exercise on a regular basis-it will help you look and feel better.Include Uncle Lee's Body Slim Dieter Tea as an enjoyable part of your overall daily health regimine.For weight control, and Uncle Lee's Dieter Tea information, see pamphlet inside."
"Teeccino, Organic Roasted Herbal Tea, Dandelion Dark Roast, Caffeine Free, 25 Tea Bags, 5.3 oz (150 g)",Teeccino,Herbal Coffee Alternative,Dandelion Tea,"Dandelion Blend3x More Herbs USDA Organic PrebioticAcid FreeCertified Gluten Free Vegan Certified Organic by QAI Kosher ParveRich. Delicious. Detox.Whether you're a tea or coffee drinker, you'll love Teeccino's satisfying, robust flavor that fans describe as smoother, richer, and creamier than coffee. The secret? French chicory, the roasted root often added to coffee, blended with dandelion, the renowned detox herb, and Spanish carob famed for its chocolatey flavor. Enriched with ramón seeds, a traditional Mayan roasted beverage, Teeccino makes a delicious cup of tea...or is it coffee? We'll let you decide!100% naturally caffeine freeNatural energy boost - from nutrients, not stimulantsAcid free - helps restore alkaline balanceHeart - healthy potassium - for optimal performancePrebiotic - Inulin, a soluble fiber in chicory root, supports gut health to improve digestion, elimination and the immune systemMore Health Benefits In Every CupIntense deep coffee notes from roasted ramón seeds, dandelion and chicory roots; unsweetened.6 g tea bag = 3X more herbs = Bold flavor and more health benefits!"
"Koelf, Pearl Shea Butter Hydro Gel Eye Patch, 60 Patches",Koelf,Beauty Face Masks,K-Beauty Face Masks & Peels, Koelf Shea Butter The Eye Patch of Elf
"Sun Chlorella, Chlorella, 500 mg, 600 Tablets",Sun Chlorella,Chlorella,,"Chlorella SupplementPulverized Cell Wall by DYNO®-MillNon GMO Project VerifiedCertified Gluten-FreeExcellent Source of Active B12Nature's Perfect Superfood®Exclusive Pulverized Chlorella®For over 45 years, our commitment to quality and purity has secured Sun Chlorella as a worldwide industry leader of chlorella.Sun Chlorella uses the nutritionally superior species of Chlorella pyrenoidosa that is Pulverized by DYNO®-Mill. This exclusive process of breaking down chlorella’s tough outer cell wall promotes bioavailability, digestion, and assimilation of Sun Chlorella®'s nutrients.Sun Chlorella® is the only chlorella to contain a 90% pulverized cell wall without using heat or chemicals. Join millions of health conscious individuals and take Sun Chlorella® every day!"
"Nature's Answer, Nettle Extract, Alcohol-Free, 2,000 mg, 1 fl oz (30 ml)",Nature's Answer,Nettle,,"Since 1972Helps Support Prostate HealthUrtica DioicaMade from 2,000 mg Nettle Leaves Per ServingDiscover Nature's Answer®Gluten-FreeAlcohol-FreeHerbal SupplementAbsolutely No PreservativesKosher ParveNon GMO Project VerifiedBio-Chelated® Cold Extraction ProcessOur alcohol-free extracts are produced using our cold Bio-Chelated® proprietary extraction process, yielding a Holistically Balanced® Advanced Botanical Fingerprint® extract in the same synergistic ratios as in the plant."
"Harney & Sons, Hemp Moringa, Deep Sleep, Wellness Tea & Herbs, 10 oz (283 g)",Harney & Sons,Medicinal Teas,Herbal Tea,"A New Daily RitualMind Your BodyFine TeasMaster Tea Blenders Est. 1983Hemp, Moringa Holy Basil and HerbsCaffeine FreeMinding your body should be both simple and delicious. Using wholesome, powerful herbs and adaptogens, our Wellness Collection Blends provide the pathway to a healthier lifestyle, making it that much easier to add a new daily ritual to your self-care routine.Hemp MoringaThis restful, restorative blend is made from our sister company The Hemp Division's own hemp plants grown at our headquarters in Millerton, New York. We've masterfully blended it with moringa leaves and other power packed herbs for a very worthy nighttime brew."
"HealthForce Superfoods, CircuForce, 90 Vegan Caps",HealthForce Superfoods,Cognitive & Memory Formulas,,"Ginkgo - Gotu Kola - Eleuthero Dietary SupplementCertified VeganCertified Gluten-FreeKosher PareveTruGanic™ SourcingEco FacilityVegan EthicsLab VerifiedEcoFresh™ PackagingCircuForce™ combines ginkgo biloba, an antioxidant-rich herb that promotes blood flow throughout the body in individuals with a healthy circulatory system§; eleuthero, an adaptogenic herb that supports the body's ability to handle stress and contains choline, a brain nutrient; and Gotu kola, an important nervine tonic herb in the ayurvedic tradition that supports the central nervous system and helps the body adapt to stress.§This product is only intended for use by individuals with an already healthy circulatory system and normal blood flow."
"ReserveAge Nutrition, Collagen Booster, 120 Capsules",Reserveage Nutrition,Collagen Supplements,,"#1 Collagen Capsule BrandWith Hyaluronic Acid & ResveratrolRadiant Skin and Healthy Joint SupportGluten FreeKeto & Paleo FriendlyDietary SupplementBioCell CollagenClinically studied ingredients for a healthier, more beautiful you.trans-ResveratrolAn active, stable polyphenol from Japanese Knotweed, a plant containing a potent concentration of trans-Resveratrol.Pro-Longevity Factors® BlendA powerful blend of Resveratrol and organic muscadine & French red wine grapes.Biocell Collagen®Patented collagen tested to support healthy skin and joints (with 2 servings daily).Hyaluronic AcidPromotes plump, youthful and hydrated skin.What does it mean to define your own beauty?It means being unapologetically yourself.It means having confidence that knows no bounds.It means finding harmonious products that support you from the inside out.Your beauty is on your terms, and we celebrate that. #ReserveageBeauty"
"Kyolic, Aged Garlic Extract, CoQ10, Formula 110, 100 Capsules",Kyolic,Coenzyme Q10 (CoQ10),Heart Support Formulas,"Odorless Organic Garlic SupplementGMP CertifiedKyolic® Aged Garlic Extract™ begins with 100% organically grown garlic from California. It is then aged to perfection in a unique extraction process to eliminate odor and create beneficial compounds found only in Kyolic. Coenzyme Q10 is a potent anti-oxidant essential for healthy heart function and cellular energy.Take the best—Kyolic Aged Garlic Extract, the most scientifically researched, highest quality and best-selling odorless Sociable Garlic®."
"I'm From, Fig Scrub Beauty Mask, 4.23 fl oz (120 g)",I'm From,Beauty Face Masks,K-Beauty Face Masks & Peels,"Clean And Vegan Beauty I'm From Fig Scrub Mask contains finely selected fresh figs grown up in a warm area called Yeong-am, Keratinase of figs and brown sugar make your skin smooth and bright. Experience the smooth skin with I'm From Fig Scrub Mask everyday.I'm from Yeongam, KoreaHonest FarmNatural Texture"
"Reviva Labs, High Potency Vitamin C Serum, 1 fl oz (29.5 ml)",Reviva Labs,Brightening,Vitamin C Serums,Sodium Ascorbyl Phosphate Aminopropyl Ascorbyl Phosphate Ascorbic Acid Not Tested On Animals Cruelty Free Natural ProductAnti-Aging All Skin Types Paraben-FreeThe Natural Skin Care Authority Reviva Labs creates skin care that offers visible results. It's why skin care fans adore our cruelty free products. Supports environmental protection from skin-damaging free radicals caused by the sun and pollution.Improves the appearance of fine lines & wrinkles.Helps even & brighten skin tone.Vitamin C is beneficial for supporting skin's collagen.
"NB Pure, Para end, Cleanse, 90 Capsules",NB Pure,Intestinal Formulas,Detox & Cleanse Formulas,"Pure VeganDietary SupplementCertified VeganGluten FreeNon GMOCruelty FreeA potent, 15-day intestinal cleanse that protects your gut and restores microbial balance.Being better.It's something we all strive to do. It's not about perfection, just being a little better. At NB Pure, that's what's driven us for over 25 years. Since all of our products are made by us, we can ensure they're made from the best all-natural ingredients this planet can offer. NB Pure is here to help you become the best version of you by being the best supplements for you.The first step on your wellness journey.Paraend® is great for:Detoxifying and rebalancing intestinal microbes.People who want an all-natural, easy-to-use microbial cleanse.Ingredients with a purpose. Results you can feel."
"Catalo Naturals, Children's Liquid Calcium with Magnesium & Zinc, Peach and Mango, 16 fl oz (474 ml)",Catalo Naturals,Children's Calcium,,"Vital Essential FormulaMulti-Minerals Profile Supports Bone & Teeth Growth Boosts Immunity Hi Absorbable No Artificial Color & FlavorDietary Supplement Natural WholesomeQuality Potency Efficacy Made in cGMP Certified Facility in USAHealth and Beauty from withinOur philosophy is simple: we believe that true health and beauty radiates from within. Putting that philosophy into action, we are committed to understanding your health needs and enhancing health through superior natural health supplements that nourish your body.It all begins with care — a healthy body is vital for a happy life —and by embracing all the goodness that nature has, we are proud to offer this wholesomeness direct to you and your family.When it comes to our products, we make no compromises. We painstakingly select premium natural ingredients, and manufactured with patented technology and clinical support so that our customers can enjoy superb quality health supplements. We care because we treat your health as if it were our own.Children's Health SeriesCATALO Children's Health Series contains a large variety of balanced nutrients that are specially formulated for children. Carefully selected multi-nutrients support healthy development of bones, eyes, gastrointestinal and immune systems in childhood. Provide the best nutrition for your child by discovering our range of products designed specifically for them.Children's Liquid Calcium (with Magnesium & Zinc) Vita Essential FormulaContains Calcium to build a strong foundation for children's structural and bone growth.With active form of Vitamin D3, Magnesium and Zinc for enhanced absorption.Vitamin C is added to serve as a great immune booster for the body."
