Title,Category 2,Category 3,Supplement Facts
"Kyolic, Aged Garlic Extract, Reserve, 60 Capsules",Garlic,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30Amount per serving%Daily ValueAged Garlic Extract™†† Powder (bulb)1200 mg****Daily Value not established††Special Garlic Preparation
"Natural Factors, Zinc Citrate, 50 mg, 90 Tablets",Zinc,Common Cold & Flu,Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueZinc (citrate)50 mg455%
"Pure Indian Foods, Organic Ginger Root, Coarse Granules, 2 oz (56 g)",Ginger Spices,,
"Dr. Axe / Ancient Nutrition, Lion's Mane, Mental Clarity And Concentration, 30 Tablets",Lions Mane,Cognitive & Memory Formulas,"Supplement FactsServing Size: 1 TabletServings Per Container: 30 Amount Per Serving%Daily ValueOrganic Mushroom and Botanical BlendOrganic Lion´s Mane (Hericium erinaceus) Mushroom Extract, Organic Ashwagandha Root and Leaf Extract1 g ++Daily Value (DV) not established."
"Quantum Health, TheraZinc, Immune Support Throat Spray, Peppermint, 4 fl oz (118 ml)",Zinc,Immune Support,Supplement FactsServing Size: 8 Sprays (1.4 ml)Servings Per Container: 82 Amount Per Serving% Daily ValueZinc (from Zinc Gluconate)7.4 mg67%
"Amazing Nutrition, L-Citrulline, 1,000 mg, 120 Tablets",L-Citrulline,,"Supplement FactsServing Size: 2 TabletsServings Per Container: 60 Amount Per Serving%Daily ValueL-Citrulline2,000 mg****Daily Value not established"
"Zhou Nutrition, D3 + K2, 60 Veggie Capsules",D3 (Cholecalciferol),Vitamin K,Supplement FactsServing Size: 1 CapsuleServings Per Container: 60 Amount Per Serving%Daily ValueVitamin D3 (as Cholecalciferol)125 mcg625%Menaquinone (MK-7)90 mcg****Daily Value (DV) not established.
"NOW Foods, Ulcetrol, 60 Tablets",Intestinal Formulas,Zinc Carnosine GI Gastro Formulas,Supplement FactsServing Size: 1 Tablet Amount Per Serving%Daily ValueCalcium (from Calcium Carbonate)70 mg5%Zinc (from PepZin GI®)8 mg73%PepZin GI (Zinc-L-Carnosine Complex)37.5 mg†Mastic Gum Powder (Pistacia lentiscus) (Sap)100 mg†Slippery Elm (Ulmus rubra) (Bark)100 mg†† Daily Value not established.
"Country Life, Pycnogenol, 100 mg, 30 Vegan Capsules",Pycnogenol,,Supplement FactsServing Size: 1 capsule Amount Per Serving% Daily ValuePycnogenol® (Pinus maritima) (100% pine bark extract)(65-75% procyanidins)100 mg**Daily Value not established.
"Superior Source, Activated B-12 Methylcobalamin, B-6 (P-5-P) & Methylfolate, 60 Microlingual Instant Dissolve Tablets",B12,,"Supplement FactsServing Size: 1 MicroLingual TabletServings Per Container: 60 Amount Per Serving%Daily ValueVitamin B6 (as pyridoxal-5'-phospate)2 mg117.7%Folate (as L-5 methyltetrahydrofolate) (1,200 mcg L-5 methyltetrahydrofolate)2,000 mcg500%Vitamin B12 (as methylcobalamin)2,000 mcg83,333%Stevia Leaf Extract2 mg††Daily Value not established"
"Natrol, Biotin, 1,000 mcg, 100 Tablets",Biotin,,"Supplement FactsServing Size: 1 TabletServings Per Container: 100 Amount Per Serving%DVBiotin1,000 mcg3,333%Calcium (from Dibasic Calcium Phosphate)46 mg4%"
"Solgar, B-Complex ""100"", 250 Tablets",Vitamin B Complex,,"Supplement Facts Serving Size: 1 Tablet Amount Per Serving%DVThiamin (vitamin B1) (as thiamin mononitrate)100 mg8,333%Riboflavin (vitamin B2)100 mg7,692%Niacin (vitamin B3) (as niacinamide)100 mg625%Vitamin B6 (as pyridoxine HCl)100 mg5,882%Folate666 mcg DFE (400 mcg folic acid)167%Vitamin B12 (as cyanocobalamin)100 mcg4,167%Biotin (as D-biotin)100 mcg333%Pantothenic Acid (vitamin B5) (as D-Ca pantothenate)100 mg2,000%Choline (as choline bitartrate)41 mg7%Inositol100 mg**Herbal Powdered Blend(kelp [plant], acerola extract complex [fruit], alfalfa [leaf and stem], parsley [leaf], rose hips [fruit], watercress [herb])2.5 mg****Daily Value (DV) not established."
"Life Extension, Vitamin B12 Methylcobalamin, 1 mg, 60 Vegetarian Lozenges",B12,,"Supplement FactsServing Size: 1 Vegetarian Lozenge Amount Per Serving% Daily Value Vitamin B12 (as methylcobalamin)1 mg41,667%"
"Nature's Answer, Eleuthero Root Extract, Alcohol-Free, 2,000 mg, 2 fl oz (60 ml)",Eleuthero,Ginseng,Supplement FactsServing Size: 2 ml (approx. 56 drops)Servings per Container: 30 Amount Per Serving% Daily ValueEleuthero (Eleutherococcus senticosus) Root Extract160 mg†† Daily Value not established.
"Jarrow Formulas, Methyl B-12, Lemon, 1,000 mcg, 100 Chewable Lozenges",B12,,"Supplement FactsServing Size: 1 LozengeServing Per Container: 100 Amount Per Serving% DVVitamin B12 (as Methylcobalamin)1,000 mcg41,670%"
"Nutricology, Free Aminos, 100 Vegicaps",Amino Acid Blends,,"Supplement FactsServing Size: 2 CapsulesServings per Container: 50 Amount Per Serving% Daily ValueL-5-Hydroxytryptophan20 mg†Proprietary BlendL-Alanine, L-Arginine, L-Cysteine HCl, L-Cystine, L-Glutamine, Glycine, L-Histidine HCl, L-Isoleucine, L-Leucine, L-Lysine HCl, L-Methionine, L-Phenylalanine, L-Serine, Taurine, L-Theronine, L-Tyrosine, L-Valine1.363 g††Daily Value not established."
"Olympian Labs, Zinc, 30 mg, 100 Capsules",Zinc,Common Cold & Flu,Supplement FactsServing Size: One (1) CapsuleServings Per Container: 100 Amount Per Serving% Daily ValueZinc (as Zinc Sulfate)30 mg273%†Daily Value (DV) not established
"Frontier Co-Op, Organic Ground Turmeric Root, 16 oz (453 g)",Turmeric Spices,,
"NOW Foods, Sports, L-Citrulline, 1,200 mg, 120 Tablets",L-Citrulline,,"Supplement FactsServing Size: 1 Tablet Amount Per Serving%Daily ValueL-Citrulline1.2 g (1,200 mg)***Daily Value not established."
"NOW Foods, Iron, 18 mg, 120 Veg Capsules",Iron,,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueIron (elemental) (from Ferrous Bisglycinate)(Ferrochel™)18 mg100%
"Jarrow Formulas, Curcumin Phytosome, 500 mg, 60 Veggie Caps",Turmeric & Curcumin,,Supplement FactsServing Size: 1 Capsule Amount Per Serving:% DVCurcumin PhytosomePhosphatidylcholine Complex (from Curcuma longa Rhizome) (18% [90 mg] Curcuminoids)500 mg†† Daily Value (DV) not established.
"InstaNatural, Vitamin C Peel Off Beauty Mask, 2 fl oz (60 ml)",Face Peels,"Vitamin C, Beauty",
"Nature's Bounty, Gentle Iron, 28 mg, 90 Capsules",Iron,,Supplement FactsServing Size: 1 Capsule Amount Per Serving:% Daily ValueVitamin C (as Ascorbic Acid)60 mg67%Folate667 mcg DFE (400 mcg folic acid)167%Vitamin B-12 (as Cyanocobalamin)8 mcg333%Iron (as Ferrous Bis-Glycinate)28 mg156%
"California Gold Nutrition, Immune 4, Immune System Support, 180 Veggie Capsules",Ascorbic Acid,Selenium,"Supplement FactsServing Size: 1 CapsuleServings Per Container: 180 Amount Per Serving%Daily ValueVitamin C (as Ascorbic Acid)500 mg556%Vitamin D (as D3, Cholecalciferol) (from Lanolin)25 mcg (1,000 IU)125%Zinc (as Zinc Picolinate)10 mg91%Selenium (as L-Selenomethionine)50 mcg91%"
"HealthForce Superfoods, CircuForce, 90 Vegan Caps",Cognitive & Memory Formulas,,Supplement FactsServing Size: 1 VeganCap™ (500 mg)Servings Per Container: 90 Amount Per Serving%DVGinkgo Biloba Leaf Extract∞250 mg†Eleuthero Root Extract∞125 mg†Gotu Kola Whole Herb Extract∞125 mg††Daily Value not established.∞TruGanic™
"Celestial Seasonings, Herbal Tea, Peppermint, Caffeine Free, 20 Tea Bags, 1.1 oz (32 g)",Peppermint Tea,Herbal Tea,
"Solgar, Folate, 666 mcg DFE, 100 Tablets",Vitamin B,,Supplement FactsServing Size: 1 Tablet Amount Per Serving%DVFolate (400 mcg L-methylfolate)(as L-methylfolate as Metafolin®)666 mcg DFE167%DV = Daily ValueProvides a dietary insignificant amount of sugar alcohol
"Lake Avenue Nutrition, CoQ10, USP Grade Ubiquinone, 100 mg, 120 Veggie Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 CapsuleServings Per Container: 120 Amount Per Serving%Daily ValueCoenzyme Q10 (Ubiquinone USP)100 mg††Daily Value not established.
"M3 Naturals, Professional Facial, 1 fl oz (30 ml)",Vitamin C Serums,"Vitamin C, Beauty",
"Celestial Seasonings, Herbal Tea, Sleepytime, Caffeine Free, 20 Tea Bags, 1.0 oz (29 g)",Herbal Tea,Medicinal Teas,
"Life Extension, GeroProtect, Autophagy Renew, 30 Vegetarian Capsules",Herbal Formulas,,Supplement FactsServing Size: 1 Vegetarian Capsule Amount Per Serving% Daily ValueLuteolin [from Japanese sophora (flower buds)]165 mg **Piperlongumine[from long pepper (root)]10 mg ****Daily Value not established. 
"Sports Research, Plant Based D3 + K2, 60 Veggie Softgels",Sports Supplements,Vitamin K,Supplement FactsServing Size: 1 Liquid Veggie SoftgelServings Per Container:  60 Amount Per Serving%Daily ValueVitamin D3 (as Cholecalciferol) (from Lichen) (VegaDELight™ )125 mcg (5000 IU)625%Vitamin K2 (as Menaquinone-7) (MK-7 from Chickpea) (MenaQ7®)100 mcg83%
"Manitoba Harvest, Hemp Yeah! Protein Bar, Variety Pack, 8 Bars, 1.59 oz (45 g) Each",Plant Based Protein Bars,Nutritional Bars,"Supplement FactsDark Chocolate Almond Sea SaltServing Size: 1 bar (45 g)Servings Per Container: 4 Amount Per ServingDV*Calories220 Total Fat14 g18%Saturated Fat3.5 g18%Trans Fat0 g Polyunsaturated Fat7 g Monounsaturated Fat3.5 g Cholesterol0 mg0%Sodium160 mg7%Total Carbohydrate15 g5%Dietary Fiber3 g11%Total Sugars7 g Includes Added Sugars6 g12%Protein10 g16%Vitamin D0 mcg0%Calcium23 mg2%Iron3 mg15%Potassium225 mg4%Thiamin0.2 mg15%Niacin2 mg15%Vitamin B60.2 mg10%Folate37 mcg DFE10%Phosphorus285 mg25%Magnesium113 mg25%Zinc2 mg20%Manganese1.1 mg50%*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice."
"St. Ives, Body Lotion, Renewing, Collagen & Elastin, 21 fl oz (621 ml)",Elastin,"Collagen, Beauty",
"Deva, Vegan Vitamin D, D3, 125 mcg (5,000 IU), 90 Tablets",Vitamin D,,Supplement FactsServing Size: 1 tabletServing Per Container: 90 Amount Per Serving%Daily ValueVitamin D3 (cholecalciferol)125 mcg625% 
"California Gold Nutrition, LactoBif 5 Probiotics, 5 Billion CFU, 10 Veggie Capsules",Intestinal Formulas,Lactobacillus,Supplement FactsServing Size: 1 CapsuleServings Per Container: 10 Amount Per Serving% Daily ValueProbiotic Bacteria Blend36 mg†5 Billion CFU composed of the following strains:  Lactobacillus acidophilus   Bifidobacterium lactis   Lactobacillus rhamnosus   Lactobacillus plantarum   Bifidobacterium longum   Bifidobacterium breve   Lactobacillus casei   Lactobacillus salivarius   † Daily Value not established.
"Enzymedica, Telomere Plus, 30 Capsules",Astragalus,D3 (Cholecalciferol),Supplement FactsServing Size: 1 CapsuleServings Per Container: 30 Amount Per Serving%Daily ValueVitamin D3 (as Cholecalciferol)12.5 mcg (500 IU)63%Telomerin™ blendAstragalus (root)SGS™ Broccoli seed extractRhodiola extract (Rhodiola rosea P.E.) (root)495 mg****Daily Value (DV) not established
"Doctor's Best, Ubiquinol with Kaneka, 200 mg, 30 Softgels","Ubiquinol, CoQ10",,"Supplement FactsServing Size: 1 softgelServings Per Container: 30 Amount Per Serving% Daily ValueUbiquinol(Kaneka Ubiquinol®, reduced form of CoQ10)200 mg†† Daily Value not established."
"Natural Factors, Acidophilus & Bifidus, 5 Billion, 90 Capsules",Acidophilus,Bifidus,Supplement FactsServing Size: 1 Capsule Amount Per ServingProprietary Synergistic Blend:Total Active Cell Count5 billion**Lactobacillus rhamnosus4 billion**Lactobacillus acidophilus0.5 billion**Bifidobacterium bifidum0.5 billion****Daily Value not established.
"Equal Exchange, Organic Lemongrass Ginger Herbal Tea, Caffeine-Free, 20 Tea Bags, 1.05 oz (30 g)",Herbal Tea,,
"Numi Tea, Organic Herbal Teasan, Honeybush, Caffeine Free, 18 Tea Bags, 1.52 oz (43.2 g)",Herbal Tea,,
"Pure Planet, Organic Amla Plus, 500 mg, 100 Tablets",Amla,Spirulina,"Supplement FactsServing Size: 10 tablets (5000 mg)Servings Per Container: 10Amount Per Serving%Daily Value*Organic Amla Berry4000 mg†Organic Spirulina1000 mg†Vitamin C15 mg25%*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calorie a day is used for general nutrition advice.†Daily value not established."
"Kyolic, Aged Garlic Extract, Red Yeast Rice Plus CoQ10, 75 Capsules",Garlic,Red Yeast Rice,Supplement FactsServing Size: 3 CapsulesServing Per Container: 25 Amount per serving%Daily ValueOrganic Red Yeast Rice (Monascus purpureus)1200 mg*Aged Garlic Extract™† Powder (bulb)300 mg*Coenzyme Q1060 mg**Daily Value not established†Special Garlic Preparation
"FutureBiotics, Certified Organic Iron + C, 90 Organic Vegetarian Tablets",Iron,Vitamin C,Supplement FactsServing Size: 3 tabletsServings Per Container: 30Amount Per Serving%Daily ValueVitamin C (from Organic Amla Fruit Extract)120 mg133%Iron (from Organic Curry Leaves Extract)27 mg150%
"Bluebonnet Nutrition, Alpha Lipoic Acid, 600 mg, 60 Vegetable Capsules",Alpha Lipoic Acid,,Supplement FactsServing Size: 1 CapsuleServing Per Container: 60Amount Per Serving:%Daily ValueAlpha Lipoic Acid (as thioctic acid)600 mg** Daily Value not established
"21st Century, Vitamin C, Prolonged Release, 500 mg, 110 Tablets",Vitamin C,Common Cold & Flu,Supplement FactsServing Size: 1 Tablet Amount Per Serving:%Daily ValueVitamin C (as Ascorbic Acid)500 mg556%Calcium (as Calcium Carbonate)40 mg4%
"Solaray, Schizandra, 580 mg, 100 VegCaps",Schisandra (Schizandra),,Supplement FactsServing Size: 1 VegCapAmount Per Serving%Daily Value Schizandra (Schisandra chinensis) (berry)580 mg**Daily Value not established.
"Herbs Etc., ChlorOxygen, Chlorophyll Concentrate, 60 Fast-Acting Softgels",Chlorophyll,Oxygen Supplements,Supplement FactsServing Size: 1 SoftgelServings Per Container: 60 Amount Per Serving% Daily ValueCalories5 Sodium4 mg<1%Copper2 mg100%Chlorophyll(Sodium Copper Chlorophyllinsfrom European Fescue leaf blade)50 mg††Daily Value not established
"Nature's Life, L-Lysine Powder, Unflavored, 200 g",L-Lysine,Common Cold & Flu,Supplement FactsServing Size: 1/4 TeaspoonServings Per Container: 460 Amount Per Serving% Daily ValueL-Lysine HCL (from Sugar Beet Molasses)435 mg**Daily Value not established.
"Julian Bakery, InstaKetones Potassium, 0.91 lbs (414 g)",Potassium,,"Supplement FactsServing Size: 1 Scoop (13.8 g)Servings Per Container: 30 Amount Per Serving%Daily Value*Calories30 Total Fat0 g0%Cholesterol0 g0%Potassium3800 mg80%Total Carbohydrate0 g0%Protein0 g0%Beta Hydroxybutyrate(Potassium Ketone Salts)10 g†*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.†Daily Value not established."
"21st Century, Vitamin C with Rose Hips, 500 mg, 110 Tablets",Vitamin C,Common Cold & Flu,Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueVitamin C (as Ascorbic Acid)500 mg556%Rose Hips37 mg****Daily Value not established.
"NOW Foods, CoQ10 With Hawthorn Berry, 100 mg, 180 Veg Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueCoenzyme Q10 (CoQ10)100 mg**Hawthorn Berry (Crataegus laevigata and/or monogyna) (Fruit)400 mg****Daily Value not established.
"21st Century, 600+D3, Calcium & Vitamin D3 Supplement, 400 Tablets",Calcium Plus Vitamin D,,Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueVitamin D3 (as Cholecalciferol)20 mcg (800 IU)100%Calcium (as Calcium Carbonate)600 mg46%
"Solgar, Vegan CoQ-10, 200 mg, 60 Vegetable Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 Vegetable CapsuleAmount Per Serving%Daily ValueCoenzyme Q-10 (as ubiquinone)200 mg****Daily Value not established
"Barlean's, Brevail Plant Lignan Extract, 30 Capsules",Women's Hormone Support,Women's Health,Supplement FactsServing Size: 1 CapsuleServing Per Container: 30Amount Per Serving%Daily ValueVitamin D3 (as cholecalciferol)10 mcg (400 IU)50%Brevail® from flaxseed extract250 mg*Secoisolariciresinol Diglycoside50 mg**Daily Value (DV) not established.
"NaturesPlus, Omega Krill Oil, 600 mg, 60 Liquid-Filled Capsules",Krill Oil,,Supplement FactsServing Size: 1 Liquid-Filled Capsule
"Cococare, 100% Vitamin E Oil, 28,000 IU, 1 fl oz (30 ml)",Vitamin E Oils,,
"NOW Foods, SAMe (Disulfate Tosylate), 400 mg, 60 Enteric Coated Tablets","SAM-e, Tosylate",,Supplement FactsServing Size: 1 Tablet Amount Per Serving%Daily ValueSAMe (S-Adenosyl-L-Methionine)(from S-Adenosyl-L-Methionine Disulfate Tosylate)400 mg** Daily Value not established.
"NaturesPlus, Source of Life Garden, Iron, 30 Vegan Capsules",Iron,,Supplement FactsServing Size:  1 CapsuleServings Per Container: 30 Amount Per Serving%Daily ValueIron (from Certified Organic Curry [Murraya koenigii] extract)♦18 mg100%♦Orgen Brand
"Sports Research, Elderberry Sambucus Complex Liquid Spray, 1,040 mg, 2 fl oz (60 ml)",Elderberry Sambucus,Sports Supplements,"Supplement FactsServing Size: 10 sprays (1.5 ml)Servings Per Container: 40 Amount Per Serving% Daily ValueProprietary Herbal Blend Extracts of Black Elderberry (Sambucus nigra), Slippery Elm Bark (Ulmus rubra), Echinacea purpurea (tops), Astragalus Root (A. membranaceus), Sage Leaf (Salvia officinalis), Propolis Resin (Resina propoli)192 mg ††Daily Value (DV) not established."
"NOW Foods, Prenatal Gels + DHA, 90 Softgels",Prenatal Multivitamins,Pre & Post-Natal Formulas,"Supplement FactsServing Size: 3 SoftgelsServings Per Container: 30 Amount Per Serving%Daily Value*Calories15 Calories from Fat15 Total Fat1.5 g†Vitamin A (100% as Beta-Carotene)5,000 IU63%Vitamin C (from Calcium Ascorbate)100 mg167%Vitamin D-3 (as Cholecalciferol)400 IU100%Vitamin E (as d-alpha Tocopheryl Acetate)100 IU333%Vitamin K (as Menaquinone K2 and Phytonadione K1)35 mcg†Thiamin (Vitamin B-1) (from Thiamin HCl)5 mg294%Riboflavin (Vitamin B-2)5 mg250%Niacin (Vitamin B-3) (as Niacinamide)12 mg60%Vitamin B-6 (from Pyridoxine HCl)9 mg360%Folate (as Folic Acid)800 mcg100%Vitamin B-12 (as Methylcobalamin)500 mcg6250%Biotin300 mcg100%Pantothenic Acid (Vitamin B-5) (from Calcium Pantothenate)20 mg200%Calcium [from Calcium Carbonate (Aquamin® Seaweed Derived Minerals), Calcium Citrate and Calcium Ascorbate]400 mg31%Iron (from Ferrochel Iron Bisglycinate) (TRAACS)27 mg150%Iodine (from Potassium Iodide)150 mcg100%Magnesium (from Magnesium Oxide, Aquamin® Seaweed Derived Minerals and Magnesium Citrate)200 mg44%Zinc (from Zinc Bisglycinate) (TRAACS®)15 mg100%Selenium (from Selenium Glycinate Complex) (Albion®)70 mcg†Copper (from Copper Bisglycinate) (TRAACS®)2 mg100%Manganese (from Manganese Bisglycinate) (TRAACS®)2 mg†Chromium (from Chromium Chelavite) (TRAACS®)120 mcg†Molybdenum (from Molybdenum Bisglycinate) (TRAACS®)75 mcg†Potassium (from Potassium Chloride)25 mg†Fish Oil Concentrate650 mg†DHA (Docosahexaenoic Acid)250 mg†EPA (Eicosapentaenoic Acid)90 mg†Borage Oil (Seed)125 mg†GLA (Gamma Linolenic Acid)25 mg†Choline (from Choline Bitartrate)10 mg†Inositol10 mg†Lutein (from Marigold Flowers)500 mcg†Lycopene (from Natural Tomato Extract)350 mcg†* Percent Daily Values for Pregnant and Lactating Women.† Daily Value not established."
